BREWERY,BEER,STYLE (MOSTLY RATEBEER),REGION,ABV,PACKAGE SIZE (LCBO),UNIT SIZE (ml; LCBO),CAD (LCBO),PACKAGE SIZE (Total Wine),UNIT SIZE (ml; Total Wine),"USD (Total Wine; Sacramento, CA)",UNTAPPD RATING,BEER ADVOCATE RATING (COMMUNITY),BEER ADVOCATE RATING (BROTHERS),RATEBEER RATING (Style),DATE PRICE COLLECTED (LCBO),DATE PRICE COLLECTED (Total Wine),USD:CAD (SEE DATE),SUPERORDINATE STYLE,IBU,est.calories,RATEBEER.num.ratings.Oct17,Rater1,Rater2,Brewery.Year.Founded
Founders Brewing,KBS,Imperial Stout,USA,11.9,1,355,7.25,4,355,22.99,4.526,100,,100,4/8/2017,4/8/2017,1.34,STOUT,70,336,2633,1,9,1997
Great Lakes Brewing Co,Canuck,APA,CAN,5.2,1,473,2.65,,,,3.629,86,,92,4/8/2017,4/8/2017,1.34,PALE,35,156,217,6,6,1988
Great Lakes Brewing Co,Karma Citra,IPA,CAN,6.6,1,473,3.25,,,,4.041,93,,100,4/8/2017,4/8/2017,1.34,PALE,65,195,121,7,6,1988
Great Lakes Brewing Co,Octopus Wants To Fight,IPA,CAN,6.2,1,473,3.25,,,,3.982,90,,98,4/8/2017,4/8/2017,1.34,PALE,88,186,80,8,6,1988
Great Lakes Brewing Co,Robohop,IIPA,CAN,8.5,1,473,5,,,,4.121,88,,97,4/8/2017,4/8/2017,1.34,PALE,100,255,85,3,7,1988
Great Lakes Brewing Co,Dupump,Saison,CAN,5.2,1,650,5.95,,,,3.65,86,,70,4/9/2017,4/9/2017,1.34,FARMHOUSE,15,156,75,2,2,1988
Jolly Pumpkin Artisan Ales,Bam Biere,Saison,USA,5,1,750,8.95,1,750,12.99,3.699,88,,94,4/8/2017,4/8/2017,1.34,FARMHOUSE,25,135,1268,10,9,2004
Jolly Pumpkin Artisan Ales,Oro de Calabaza,Golden Strong Ale,USA,8,1,750,11.95,1,750,13.99,3.828,92,,98,7/15/017,7/15/017,1.26,,30,240,1248,8,9,2004
Kiuchi,Hitachino Nest Saison Du Japon,Saison,JPN,5.1,1,330,4.3,,,,3.64,87,,56,4/9/2017,4/9/2017,1.34,FARMHOUSE,16,150,185,7,8,1823
North Coast Brewing Co,Old Rasputin,RIS,USA,9,1,650,7,1,650,6.99,4.04,95,97,98,4/8/2017,4/8/2017,1.34,STOUT,75,270,4011,4,8,1988
Ommegang,Game of Thrones Seven Kingdoms,Hoppy Belgian Wheat,USA,6.9,1,750,10.95,1,750,8.99,3.753,89,,100,4/8/2017,4/8/2017,1.34,WHEAT,22,207,205,3,7,1997
Ommegang,Three Philosophers,Belgian Quad,USA,9.7,1,750,10.8,1,750,11.99,3.97,92,91,95,4/8/2017,4/8/2017,1.34,STRONG,19,291,2529,2,6,1997
Omnipollo,Zodiak (ON),IPA,CAN,6.2,1,473,3.6,,,,,,,95,7/15/017,7/15/017,1.26,,65,186,421,7,7,2010
Oskar Blues Brewery,Ten Fidy,Imperial Stout,USA,10.5,1,355,4.85,1,355,3.79,4.117,96,100,98,4/8/2017,4/8/2017,1.34,STOUT,65,315,2497,4,7,1997
Oskar Blues Brewery,Dale's Pale Ale,Pale Ale,USA,6.5,4,355,9.05,6,355,8.49,3.672,88,81,99,4/8/2017,4/8/2017,1.34,PALE,65,195,2641,6,9,1997
Oskar Blues Brewery,G'Knight Imperial Red IPA,IRIPA,USA,8.7,4,355,12.05,6,355,11.99,3.898,92,90,97,4/8/2017,4/8/2017,1.34,STRONG,60,262,1866,4,7,1997
Radical Road Brewing Co,Sling Shot,California Common,CAN,5.1,1,473,2.85,,,,3.432,,,47,4/8/2017,4/8/2017,1.34,AMBER,35,150,25,3,5,2013
Rainhard Brewing,Kapow!,IPA,CAN,6.5,1,500,5.95,,,,3.904,86,,96,4/8/2017,4/8/2017,1.34,PALE,65,195,28,8,8,2015
Sawdust City Brewing Co,Lone Pine,IPA,CAN,6.2,1,473,3.25,,,,3.791,88,,95,4/8/2017,4/8/2017,1.34,PALE,65,195,159,7,7,2014
Sawdust City Brewing Co,Golden Beach,APA,CAN,4.5,1,473,3.1,,,,3.603,87,,84,4/8/2017,4/8/2017,1.34,PALE,25,135,75,8,6,2014
Sierra Nevada Brewing Co,Pale Ale,APA,USA,5.6,6,355,15.75,6,355,8.49,3.66,91,91,97,4/8/2017,4/8/2017,1.34,PALE,38,168,4427,9,9,1980
Smuttynose Brewing Co,Finest Kind IPA,IPA,USA,6.9,1,473,3.25,6,355,9.99,3.646,91,100,93,4/8/2017,4/8/2017,1.34,PALE,75,207,1808,6,7,1994
Smuttynose Brewing Co,Baltic Porter,Baltic Porter,USA,9,4,355,13.05,4,355,9.99,3.911,94,,99,4/8/2017,4/8/2017,1.34,PORTER,66,261,887,4,8,1994
Steam Whistle,Pilsner,Pilsner,CAN,5,6,355,14.25,,,,3.452,78,,50,4/8/2017,4/8/2017,1.34,LAGER,22,150,409,8,6,2000
Stone Brewing Co,Russian Imperial Stout,RIS,USA,10.8,1,650,11,1,650,7.99,3.996,96,93,99,4/8/2017,4/8/2017,1.34,STOUT,60,315,3114,2,7,1996
Stone Brewing Co,Double Bastard,IIPA,USA,11,1,650,11,1,650,7.99,3.931,95,100,99,7/15/017,7/15/017,1.26,,100,330,2540,3,6,1996
Stone Brewing Co,Arrogant Bastard Ale,American Strong,USA,7.2,1,473,4.25,6,473,11.99,3.8,93,97,98,4/8/2017,4/8/2017,1.34,STRONG,100,216,3972,2,6,1996
Stone Brewing Co,Enjoy After 7.4.16 Brett IPA,Brett IPA,USA,7.8,1,750,18.95,1,750,13.99,3.738,87,,95,7/15/017,7/15/017,1.26,,70,210,309,8,9,1996
Stone Brewing Co,Xocoveza Stout,Stout,USA,8.1,1,355,4.2,,,,4.157,88,,92,7/15/017,7/15/017,1.26,,50,243,1025,7,8,1996
